travelCosts,improvements,steps,pI,pR,maxCosts
52.54706452507203,912.8505396820866,3400,0.1,0.001,2.0
52.9534400846308,908.2854512610672,3500,0.1,0.001,2.0
52.403705106512675,913.3855536559162,3600,0.1,0.001,2.0
51.889188105877345,924.3416652582955,3700,0.1,0.001,2.0
51.69119689841636,931.8206204120914,3800,0.1,0.001,2.0
52.76021102159336,919.9321865128557,3900,0.1,0.001,2.0
52.68781731004777,921.4125632218714,4000,0.1,0.001,2.0
52.178178210171176,931.2524124283156,4100,0.1,0.001,2.0
51.9489870710858,932.5294283112426,4200,0.1,0.001,2.0
51.59880448789864,937.2718613848804,4300,0.1,0.001,2.0
51.57869382881391,939.7659227344516,4400,0.1,0.001,2.0
51.30938468090229,942.4739316152433,4500,0.1,0.001,2.0
51.35193729498973,937.551918248188,4600,0.1,0.001,2.0
51.57058553263494,937.4104272762314,4700,0.1,0.001,2.0
51.50238006840403,937.0223833036337,4800,0.1,0.001,2.0
51.310026527226476,937.9632749823227,4900,0.1,0.001,2.0
51.78129698115654,935.5687353582241,5000,0.1,0.001,2.0
51.524527710985026,941.563441860701,5100,0.1,0.001,2.0
51.481892994901834,942.9147640363685,5200,0.1,0.001,2.0
51.50295214004463,941.6262659532341,5300,0.1,0.001,2.0
51.664156732720855,942.9285599629952,5400,0.1,0.001,2.0
51.701723339633524,945.3191192373966,5500,0.1,0.001,2.0
51.57259648818681,950.7949662288158,5600,0.1,0.001,2.0
51.41966266837785,953.5140347477897,5700,0.1,0.001,2.0
50.94124556839477,960.4990928533134,5800,0.1,0.001,2.0
51.34610974617337,954.6306967627569,5900,0.1,0.001,2.0
51.04820525112676,960.546232095442,6000,0.1,0.001,2.0
50.81884510062711,968.2262123943668,6100,0.1,0.001,2.0
50.92426916626862,967.8586909909817,6200,0.1,0.001,2.0
51.306176393807064,960.6282447037954,6300,0.1,0.001,2.0
51.067995108264505,965.3694915491842,6400,0.1,0.001,2.0
51.20294965701003,969.0549628419255,6500,0.1,0.001,2.0
50.980654827212526,975.4952449895601,6600,0.1,0.001,2.0
51.114039147354326,972.2195537894397,6700,0.1,0.001,2.0
51.655959370511034,959.648573769045,6800,0.1,0.001,2.0
50.98707222778761,971.155943509169,6900,0.1,0.001,2.0
51.033176129467,971.049032704758,7000,0.1,0.001,2.0
51.04073582379067,963.361281649885,7100,0.1,0.001,2.0
51.090346473596,957.0055368669796,7200,0.1,0.001,2.0
51.28400138395873,952.0077978788528,7300,0.1,0.001,2.0
51.10547220696332,952.0769610116336,7400,0.1,0.001,2.0
50.92213359089202,955.6821546854405,7500,0.1,0.001,2.0
50.83723526892336,957.968432034645,7600,0.1,0.001,2.0
51.106316799102906,955.7369552412009,7700,0.1,0.001,2.0
51.615213864909016,946.8305054181515,7800,0.1,0.001,2.0
51.49395502682144,945.9245416861148,7900,0.1,0.001,2.0
51.22777449566008,954.67692007208,8000,0.1,0.001,2.0
51.29533567609728,951.3921875536112,8100,0.1,0.001,2.0
50.82179009568784,958.4896820143658,8200,0.1,0.001,2.0
51.11978929897037,957.6201506162895,8300,0.1,0.001,2.0
50.690699307644124,964.1038896073571,8400,0.1,0.001,2.0
50.789116662689764,961.0559074853804,8500,0.1,0.001,2.0
51.4498266807679,947.7624127037436,8600,0.1,0.001,2.0
51.57089666796899,948.3280596572195,8700,0.1,0.001,2.0
51.32583571522783,953.0817242330163,8800,0.1,0.001,2.0
51.34727890475836,952.0746429775118,8900,0.1,0.001,2.0
51.21148195825794,952.1620623542301,9000,0.1,0.001,2.0
50.95044618612149,961.597251012243,9100,0.1,0.001,2.0
51.718103289754374,954.3053723363914,9200,0.1,0.001,2.0
51.12262779597516,967.1290472688015,9300,0.1,0.001,2.0
50.93153560400745,974.8676499221258,9400,0.1,0.001,2.0
50.84330657564549,974.0677681933958,9500,0.1,0.001,2.0
50.68592681192563,975.8704590821367,9600,0.1,0.001,2.0
50.60748008699976,978.5665216604086,9700,0.1,0.001,2.0
50.68849179680367,976.4857922339183,9800,0.1,0.001,2.0
50.54338313869299,984.4881161731852,9900,0.1,0.001,2.0
50.95447870104759,983.466146605711,10000,0.1,0.001,2.0
93.36270928741386,0.0,0,0.1,0.002,2.0
90.92591418381515,54.329700951795296,100,0.1,0.002,2.0
88.96162716087849,74.00748045999126,200,0.1,0.002,2.0
86.25108284399423,110.3717273675438,300,0.1,0.002,2.0
83.4734970364541,138.3112018814581,400,0.1,0.002,2.0
76.62490035226668,194.9908047132675,500,0.1,0.002,2.0
73.35470531978466,245.35962573080621,600,0.1,0.002,2.0
72.83875917305885,259.967077470764,700,0.1,0.002,2.0
71.47769540339056,280.80843492681515,800,0.1,0.002,2.0
69.92959525715051,304.8352967580805,900,0.1,0.002,2.0
69.54092273690708,316.07012847042085,1000,0.1,0.002,2.0
68.58989459081315,342.25841457586125,1100,0.1,0.002,2.0
67.72841336487218,370.0022967718496,1200,0.1,0.002,2.0
68.2045502530055,377.83587690404175,1300,0.1,0.002,2.0
67.50730249091794,376.91605009969084,1400,0.1,0.002,2.0
68.28135085219802,377.92014277908885,1500,0.1,0.002,2.0
68.04835602089906,380.01091890574975,1600,0.1,0.002,2.0
67.64481562097154,384.2844367669176,1700,0.1,0.002,2.0
67.00571212846464,402.5099895868274,1800,0.1,0.002,2.0
66.66395759401054,395.9028660549075,1900,0.1,0.002,2.0
64.74041612639907,416.8701887314715,2000,0.1,0.002,2.0
64.76042487453638,421.08896038038716,2100,0.1,0.002,2.0
63.824788339321586,428.50148014635806,2200,0.1,0.002,2.0
64.28923918436163,417.1889656333029,2300,0.1,0.002,2.0
63.5188164532448,429.9841949406908,2400,0.1,0.002,2.0
63.93019915976298,434.4561016322699,2500,0.1,0.002,2.0
63.05087258404221,441.22081515109596,2600,0.1,0.002,2.0
62.61374529968995,460.6708799342,2700,0.1,0.002,2.0
62.273635178436095,469.4705482788698,2800,0.1,0.002,2.0
62.571021354942495,465.8054244153689,2900,0.1,0.002,2.0
62.31341858442997,467.4253060567212,3000,0.1,0.002,2.0
61.596376328905386,462.8143062012822,3100,0.1,0.002,2.0
62.96492206920606,449.40901738195026,3200,0.1,0.002,2.0
62.79166623624456,451.49907274117294,3300,0.1,0.002,2.0
63.06410023922172,454.9847592865308,3400,0.1,0.002,2.0
62.649362855819255,456.5322558978295,3500,0.1,0.002,2.0
61.4538449429462,468.48825858535497,3600,0.1,0.002,2.0
61.10887120060679,462.55066929319264,3700,0.1,0.002,2.0
61.5274670559451,460.0680355905739,3800,0.1,0.002,2.0
62.45260294207188,445.128474196085,3900,0.1,0.002,2.0
61.15163315758843,451.0780609279726,4000,0.1,0.002,2.0
61.18250184431719,450.06386280872294,4100,0.1,0.002,2.0
60.662084196579016,457.6977574074332,4200,0.1,0.002,2.0
59.97392373638327,462.83190027114233,4300,0.1,0.002,2.0
59.576453131254866,468.6188506315739,4400,0.1,0.002,2.0
60.28835296273434,461.5972332482237,4500,0.1,0.002,2.0
61.83285776164426,453.1531688802116,4600,0.1,0.002,2.0
62.79796473861727,439.8405990286974,4700,0.1,0.002,2.0
62.71490256952826,450.84142095702305,4800,0.1,0.002,2.0
63.97404863468359,439.32463179379374,4900,0.1,0.002,2.0
63.94603428360901,443.649308976792,5000,0.1,0.002,2.0
