travelCosts,improvements,steps,pI,pR,maxCosts
60.42992496070326,727.6768901574135,6800,0.01,0.0001,2.0
59.85226776015232,741.5870656520043,7000,0.01,0.0001,2.0
59.40067563422747,754.2335258932078,7200,0.01,0.0001,2.0
58.810316707727495,767.7490813021309,7400,0.01,0.0001,2.0
58.13865277738009,780.9636533564769,7600,0.01,0.0001,2.0
57.46792150337009,796.230522045526,7800,0.01,0.0001,2.0
56.83501172920421,811.5913499445528,8000,0.01,0.0001,2.0
56.42711236828708,823.8033813788911,8200,0.01,0.0001,2.0
55.96739091243398,837.5383579179514,8400,0.01,0.0001,2.0
55.45014129917239,851.4608977358555,8600,0.01,0.0001,2.0
54.91377194846253,864.2606786610434,8800,0.01,0.0001,2.0
54.60210607081722,875.7138339090986,9000,0.01,0.0001,2.0
54.27014294201988,886.5572777905104,9200,0.01,0.0001,2.0
54.051353930857324,898.5057600663855,9400,0.01,0.0001,2.0
53.656837103595436,908.1943291386098,9600,0.01,0.0001,2.0
53.35893177533709,919.6551346409237,9800,0.01,0.0001,2.0
53.08611495285342,930.4332103883803,10000,0.01,0.0001,2.0
52.973499118922426,937.9355408539343,10200,0.01,0.0001,2.0
52.67590684975353,948.7744983310484,10400,0.01,0.0001,2.0
52.564616235964685,955.2288235314262,10600,0.01,0.0001,2.0
52.38959370952726,963.4131360779285,10800,0.01,0.0001,2.0
52.347243121266494,968.7140448367654,11000,0.01,0.0001,2.0
52.03364927440135,980.3327712071231,11200,0.01,0.0001,2.0
51.90506696679359,987.1724961527027,11400,0.01,0.0001,2.0
51.7763884211909,995.5427958323429,11600,0.01,0.0001,2.0
51.672764984177824,1002.0996580956071,11800,0.01,0.0001,2.0
51.4994283754508,1010.8876861089572,12000,0.01,0.0001,2.0
51.42493158556051,1018.237739985742,12200,0.01,0.0001,2.0
51.3495842447677,1022.4038070143692,12400,0.01,0.0001,2.0
51.17503010430581,1030.3017936369306,12600,0.01,0.0001,2.0
51.07830686127456,1038.102823528422,12800,0.01,0.0001,2.0
50.965682917344715,1047.188309981831,13000,0.01,0.0001,2.0
50.946221333113215,1052.4641046205256,13200,0.01,0.0001,2.0
50.92894129332125,1055.733536592357,13400,0.01,0.0001,2.0
50.86998227653905,1059.7435537953252,13600,0.01,0.0001,2.0
50.870343316942,1062.9402461044926,13800,0.01,0.0001,2.0
50.8615234130257,1067.8343090202848,14000,0.01,0.0001,2.0
50.6984151885653,1074.2688278926676,14200,0.01,0.0001,2.0
50.63846626912987,1078.7151676954904,14400,0.01,0.0001,2.0
50.46864090709773,1086.0468970027714,14600,0.01,0.0001,2.0
