travelCosts,improvements,steps,pI,pR,maxCosts
55.54607082744233,557.5809215650013,8100,0.01,0.0001,2.0
55.29854729461532,563.2694616715866,8200,0.01,0.0001,2.0
55.17704902783669,567.5173530162718,8300,0.01,0.0001,2.0
54.972729916019965,572.9948377823187,8400,0.01,0.0001,2.0
54.716088138934516,578.577289184461,8500,0.01,0.0001,2.0
54.5489337738808,582.8820551059073,8600,0.01,0.0001,2.0
54.47963590767449,587.0244296186203,8700,0.01,0.0001,2.0
54.35954331556091,590.9186809757765,8800,0.01,0.0001,2.0
54.2136945275718,595.2227889991252,8900,0.01,0.0001,2.0
54.138118800922804,599.2812868200651,9000,0.01,0.0001,2.0
54.03604821493166,603.3353529408171,9100,0.01,0.0001,2.0
53.78600001980093,607.8453507119943,9200,0.01,0.0001,2.0
53.729863692738796,611.8130874526915,9300,0.01,0.0001,2.0
53.58903150581991,615.460306267466,9400,0.01,0.0001,2.0
53.459679752794926,619.301179677145,9500,0.01,0.0001,2.0
53.327684754768626,623.2480077169566,9600,0.01,0.0001,2.0
53.18393492316618,626.0922226782122,9700,0.01,0.0001,2.0
53.121486635354366,629.671157160718,9800,0.01,0.0001,2.0
53.04806548042856,631.9727753979073,9900,0.01,0.0001,2.0
53.099488412318664,634.9883045588438,10000,0.01,0.0001,2.0
52.92597932275573,638.8328163384888,10100,0.01,0.0001,2.0
52.80724583303507,642.6824887278847,10200,0.01,0.0001,2.0
52.75111839163063,645.7790587206766,10300,0.01,0.0001,2.0
52.67465087933016,648.0422407886189,10400,0.01,0.0001,2.0
52.60597341103185,650.6088298439881,10500,0.01,0.0001,2.0
52.610865927414295,653.9021683097576,10600,0.01,0.0001,2.0
52.56583397797167,656.9964592115903,10700,0.01,0.0001,2.0
52.51478916313056,660.1119640766951,10800,0.01,0.0001,2.0
52.3695202202262,663.5825448073799,10900,0.01,0.0001,2.0
52.41685532009718,665.9956099642117,11000,0.01,0.0001,2.0
52.35648906945706,669.0315850425798,11100,0.01,0.0001,2.0
52.2230889401546,672.627836787153,11200,0.01,0.0001,2.0
52.282007121767855,674.4337737108513,11300,0.01,0.0001,2.0
52.282969923782375,676.1308626387379,11400,0.01,0.0001,2.0
52.234211284609756,678.9860807203372,11500,0.01,0.0001,2.0
52.219685119357365,681.0834122964245,11600,0.01,0.0001,2.0
52.21086513850571,682.2309222841657,11700,0.01,0.0001,2.0
52.106620960611146,685.1017524341146,11800,0.01,0.0001,2.0
52.13355865723002,686.905346938526,11900,0.01,0.0001,2.0
52.17760131099697,688.5971142409569,12000,0.01,0.0001,2.0
52.100338033355676,692.0691379558646,12100,0.01,0.0001,2.0
52.03147757795975,693.9342837544054,12200,0.01,0.0001,2.0
52.017235593509255,695.5931056141467,12300,0.01,0.0001,2.0
52.05728084118013,697.4601889717529,12400,0.01,0.0001,2.0
52.04622247524183,699.9574528646889,12500,0.01,0.0001,2.0
52.02128251503461,702.9821414828714,12600,0.01,0.0001,2.0
51.966269530648354,706.0369789171295,12700,0.01,0.0001,2.0
51.98098405149956,707.9928525668709,12800,0.01,0.0001,2.0
51.94076753431012,710.7384757770448,12900,0.01,0.0001,2.0
52.04109166908946,711.8526118175146,13000,0.01,0.0001,2.0
51.933511409695335,714.8771296891848,13100,0.01,0.0001,2.0
51.999597482984356,715.9959406504122,13200,0.01,0.0001,2.0
51.96899603168606,718.7791474679327,13300,0.01,0.0001,2.0
52.064573650598795,717.9719186827344,13400,0.01,0.0001,2.0
51.98583724787585,720.1116280541517,13500,0.01,0.0001,2.0
51.98129670582609,722.2379687621294,13600,0.01,0.0001,2.0
51.96326376685465,722.5510768745328,13700,0.01,0.0001,2.0
51.90975905440634,725.2954987043777,13800,0.01,0.0001,2.0
51.960838196926105,726.9259117185103,13900,0.01,0.0001,2.0
51.93571234684812,729.3370122654491,14000,0.01,0.0001,2.0
51.85079131461763,731.6453423558187,14100,0.01,0.0001,2.0
51.83537425682529,733.9207308681796,14200,0.01,0.0001,2.0
51.82959330135054,735.5528826333399,14300,0.01,0.0001,2.0
51.74294848196426,737.3495288419963,14400,0.01,0.0001,2.0
51.75644240398204,739.01180987809,14500,0.01,0.0001,2.0
51.80238583667211,739.4965238927325,14600,0.01,0.0001,2.0
51.800158164759914,740.9884618537042,14700,0.01,0.0001,2.0
51.805092234078245,742.7364651204439,14800,0.01,0.0001,2.0
51.70988171927422,744.5240838140219,14900,0.01,0.0001,2.0
51.743667650520074,745.6189991416816,15000,0.01,0.0001,2.0
51.74894918775312,746.4733124164648,15100,0.01,0.0001,2.0
51.74401996052577,748.2509562013056,15200,0.01,0.0001,2.0
51.74490314484187,749.4234352770759,15300,0.01,0.0001,2.0
51.68192149742564,750.9463196219336,15400,0.01,0.0001,2.0
51.705199022457194,751.3568351227248,15500,0.01,0.0001,2.0
51.716452844253986,752.9659050208331,15600,0.01,0.0001,2.0
51.676446674827005,753.8059448013676,15700,0.01,0.0001,2.0
51.665124543267275,754.8216949926832,15800,0.01,0.0001,2.0
51.72932476432566,756.7326141265812,15900,0.01,0.0001,2.0
51.66012083326574,758.22193820562,16000,0.01,0.0001,2.0
51.664959934876144,758.870803509725,16100,0.01,0.0001,2.0
51.67238998479034,760.858922754122,16200,0.01,0.0001,2.0
51.56163944618675,763.4543617681525,16300,0.01,0.0001,2.0
51.57214846636004,764.2205879337178,16400,0.01,0.0001,2.0
51.607392985355084,764.9496312991579,16500,0.01,0.0001,2.0
51.56846971970509,766.0492498138128,16600,0.01,0.0001,2.0
51.56910561084896,767.325072797576,16700,0.01,0.0001,2.0
51.624221192440146,768.0798340876037,16800,0.01,0.0001,2.0
51.59724604363459,769.1516396244189,16900,0.01,0.0001,2.0
51.5011940403905,771.5877083450898,17000,0.01,0.0001,2.0
51.52634382987208,772.7622732456018,17100,0.01,0.0001,2.0
51.53753023515113,773.7536826105218,17200,0.01,0.0001,2.0
51.5424462260978,775.148793569742,17300,0.01,0.0001,2.0
51.57619111817575,776.0669079532308,17400,0.01,0.0001,2.0
51.481050828835194,778.2799405749631,17500,0.01,0.0001,2.0
51.49571877155538,779.591651200544,17600,0.01,0.0001,2.0
51.4895144142737,781.1116957931753,17700,0.01,0.0001,2.0
51.4103690217781,783.0226728619693,17800,0.01,0.0001,2.0
51.511326510036525,782.9840273325499,17900,0.01,0.0001,2.0
51.50240903078794,783.9447220925917,18000,0.01,0.0001,2.0
51.463509822535414,785.2281663094643,18100,0.01,0.0001,2.0
51.45262804881215,787.0797737004236,18200,0.01,0.0001,2.0
51.39582246787565,788.9383868323777,18300,0.01,0.0001,2.0
51.373972777620835,789.1695825811288,18400,0.01,0.0001,2.0
51.39568634844987,790.192517284519,18500,0.01,0.0001,2.0
51.384792504428184,791.3261337026391,18600,0.01,0.0001,2.0
51.34898970364505,793.2187638865737,18700,0.01,0.0001,2.0
51.45621706705034,793.0555724890093,18800,0.01,0.0001,2.0
51.432507332741466,794.3253928072694,18900,0.01,0.0001,2.0
51.45692592400207,795.0291565985561,19000,0.01,0.0001,2.0
51.40246844154466,796.705702942036,19100,0.01,0.0001,2.0
51.32867953414682,798.5045110689091,19200,0.01,0.0001,2.0
51.369001357159526,799.5909785245917,19300,0.01,0.0001,2.0
51.401040175357636,799.3092145885032,19400,0.01,0.0001,2.0
51.3914811061701,801.5094312920585,19500,0.01,0.0001,2.0
51.3178521939848,802.6452296893734,19600,0.01,0.0001,2.0
51.304850047741425,803.6474967817187,19700,0.01,0.0001,2.0
51.353989250826665,804.3178009235688,19800,0.01,0.0001,2.0
51.355522089476594,805.2909555061369,19900,0.01,0.0001,2.0
51.32703523572412,806.47040720759,20000,0.01,0.0001,2.0
51.320191828023425,807.7855686139109,20100,0.01,0.0001,2.0
51.29233572089417,808.7204732872075,20200,0.01,0.0001,2.0
51.36954788422758,809.3725093755888,20300,0.01,0.0001,2.0
51.32753150059871,809.8855215437807,20400,0.01,0.0001,2.0
51.34895881023596,810.9231216049515,20500,0.01,0.0001,2.0
51.276015880698075,812.5293422162026,20600,0.01,0.0001,2.0
51.33266893020144,812.7071829140315,20700,0.01,0.0001,2.0
51.27912654659914,815.4133700386437,20800,0.01,0.0001,2.0
51.301717111643384,815.1415307813837,20900,0.01,0.0001,2.0
51.315011600967864,815.3721356940001,21000,0.01,0.0001,2.0
51.2651745377687,817.5185627652847,21100,0.01,0.0001,2.0
51.365266088889975,817.5411071574488,21200,0.01,0.0001,2.0
51.29681049994839,818.6453522153444,21300,0.01,0.0001,2.0
51.216115567892736,819.8037900120332,21400,0.01,0.0001,2.0
51.19702224767632,820.6828495146049,21500,0.01,0.0001,2.0
51.154705086018375,822.3254546109349,21600,0.01,0.0001,2.0
51.184062452570856,822.9133436717781,21700,0.01,0.0001,2.0
51.18378332871628,823.5926976817475,21800,0.01,0.0001,2.0
51.18675630431057,825.1216683957364,21900,0.01,0.0001,2.0
51.19274964510733,825.4426640140814,22000,0.01,0.0001,2.0
51.156023368288466,826.3921245147817,22100,0.01,0.0001,2.0
51.140663525326715,827.557946783139,22200,0.01,0.0001,2.0
51.169368247992224,827.3694151674897,22300,0.01,0.0001,2.0
51.13094280985412,828.9144830837815,22400,0.01,0.0001,2.0
51.09245517897142,830.715211256046,22500,0.01,0.0001,2.0
51.08892928986192,831.2273712402418,22600,0.01,0.0001,2.0
51.134004727708344,830.9931592021078,22700,0.01,0.0001,2.0
51.16320931330892,832.1829688920407,22800,0.01,0.0001,2.0
51.1129845039527,832.9614431025684,22900,0.01,0.0001,2.0
51.03416984498259,834.7124801818636,23000,0.01,0.0001,2.0
51.070948050989266,835.5004686823112,23100,0.01,0.0001,2.0
51.11132253442038,834.7736182056731,23200,0.01,0.0001,2.0
51.12986034339388,836.7375894475481,23300,0.01,0.0001,2.0
51.09845778549477,837.7011495741492,23400,0.01,0.0001,2.0
51.127775190647654,838.2216883257765,23500,0.01,0.0001,2.0
51.07116450961248,839.6831231574945,23600,0.01,0.0001,2.0
51.016778319451596,841.166759505638,23700,0.01,0.0001,2.0
51.01047917086846,842.3574999098298,23800,0.01,0.0001,2.0
51.03604273383709,843.3555610871128,23900,0.01,0.0001,2.0
51.05609566243395,843.784543675301,24000,0.01,0.0001,2.0
51.07063650547531,844.4848281140712,24100,0.01,0.0001,2.0
51.05791713906963,845.2291585866309,24200,0.01,0.0001,2.0
51.05461210067731,846.1313595902556,24300,0.01,0.0001,2.0
51.085503131037754,847.3769951841996,24400,0.01,0.0001,2.0
51.043999956585324,848.932096957464,24500,0.01,0.0001,2.0
51.07071836784905,849.5005167555219,24600,0.01,0.0001,2.0
51.05540029393117,849.8290812870146,24700,0.01,0.0001,2.0
51.057344488679995,850.4376916373519,24800,0.01,0.0001,2.0
51.059010087480125,851.352200717743,24900,0.01,0.0001,2.0
51.00597325172834,851.8910774614701,25000,0.01,0.0001,2.0
51.00244085947179,852.6825530425805,25100,0.01,0.0001,2.0
51.04171312423624,852.7058312459568,25200,0.01,0.0001,2.0
51.00177293921816,854.1069036020576,25300,0.01,0.0001,2.0
51.00529572006348,855.1325919528255,25400,0.01,0.0001,2.0
50.99026792360057,854.8733461730613,25500,0.01,0.0001,2.0
50.96393833390761,856.1259164099074,25600,0.01,0.0001,2.0
51.03976578010736,855.7010471293671,25700,0.01,0.0001,2.0
50.99526719354263,856.9705205908593,25800,0.01,0.0001,2.0
51.00627403545863,857.1338480729521,25900,0.01,0.0001,2.0
50.9732237059606,858.8330850759116,26000,0.01,0.0001,2.0
51.01258447975644,859.185373927615,26100,0.01,0.0001,2.0
51.10813246207471,859.2515186968525,26200,0.01,0.0001,2.0
51.135176863139115,858.9182385028435,26300,0.01,0.0001,2.0
51.028707428100226,860.7037922491035,26400,0.01,0.0001,2.0
51.01813199465698,861.3155380277369,26500,0.01,0.0001,2.0
51.04687337466013,861.990949523559,26600,0.01,0.0001,2.0
50.99681355003395,863.175387056257,26700,0.01,0.0001,2.0
51.001237127802476,864.2419387247965,26800,0.01,0.0001,2.0
51.00578322230049,865.3373501984792,26900,0.01,0.0001,2.0
51.03850168099919,866.2719426673898,27000,0.01,0.0001,2.0
50.904341499133274,867.8065643634245,27100,0.01,0.0001,2.0
51.014122568066,867.018374113348,27200,0.01,0.0001,2.0
50.91796491536202,867.927825840694,27300,0.01,0.0001,2.0
50.918213397200404,868.7413752384639,27400,0.01,0.0001,2.0
50.98897334543861,868.1728621901447,27500,0.01,0.0001,2.0
50.92863952619085,869.5464400076139,27600,0.01,0.0001,2.0
50.925552659548096,871.2195893344011,27700,0.01,0.0001,2.0
50.94535762470413,871.35797228555,27800,0.01,0.0001,2.0
50.90198511591632,872.8449023909305,27900,0.01,0.0001,2.0
50.89722457391295,874.0828197636722,28000,0.01,0.0001,2.0
50.85593959867882,874.9365631024249,28100,0.01,0.0001,2.0
50.89487809227562,875.3284664531651,28200,0.01,0.0001,2.0
50.92667802812208,875.9468031128899,28300,0.01,0.0001,2.0
50.969829000106856,876.0963350523432,28400,0.01,0.0001,2.0
50.914458843370184,877.4096046193977,28500,0.01,0.0001,2.0
50.917513844653755,877.5483739898802,28600,0.01,0.0001,2.0
50.98167687671543,878.6572960669129,28700,0.01,0.0001,2.0
50.87303816276565,880.1029716938112,28800,0.01,0.0001,2.0
50.87923238420109,881.0569778835944,28900,0.01,0.0001,2.0
50.883931801611176,882.3876969286989,29000,0.01,0.0001,2.0
50.85743746335498,882.9369787775811,29100,0.01,0.0001,2.0
50.91946759555209,882.6796108114281,29200,0.01,0.0001,2.0
50.88166989163356,883.4155929375518,29300,0.01,0.0001,2.0
50.90550702210126,883.2962964327198,29400,0.01,0.0001,2.0
50.862409288012074,884.3035239790513,29500,0.01,0.0001,2.0
50.88065910675253,884.9609947913195,29600,0.01,0.0001,2.0
50.81250179587131,886.6191863953964,29700,0.01,0.0001,2.0
50.8816329839655,886.7452879526932,29800,0.01,0.0001,2.0
50.82734533481241,888.0312692715316,29900,0.01,0.0001,2.0
50.84984938238055,889.2437485566079,30000,0.01,0.0001,2.0
50.836464016824905,889.6711146059629,30100,0.01,0.0001,2.0
50.85032634216883,889.466716349941,30200,0.01,0.0001,2.0
50.833748682923115,890.7458511365423,30300,0.01,0.0001,2.0
50.881600467794456,890.4478338516953,30400,0.01,0.0001,2.0
50.8276154412332,890.7289469502058,30500,0.01,0.0001,2.0
50.86680151927858,889.6993391381611,30600,0.01,0.0001,2.0
50.84060332490356,890.9263482801978,30700,0.01,0.0001,2.0
50.82982693763166,892.6737584406014,30800,0.01,0.0001,2.0
50.78080987628994,893.665385552119,30900,0.01,0.0001,2.0
50.8029961486421,893.6572619408946,31000,0.01,0.0001,2.0
50.903394240848904,892.9510282666336,31100,0.01,0.0001,2.0
50.82166418733914,894.0613848161418,31200,0.01,0.0001,2.0
50.811440949238985,893.8606127938922,31300,0.01,0.0001,2.0
50.843568463079684,894.359464501619,31400,0.01,0.0001,2.0
50.8590764789181,894.613554058956,31500,0.01,0.0001,2.0
50.824663554819644,895.357711603705,31600,0.01,0.0001,2.0
50.77529160252233,896.5733844312717,31700,0.01,0.0001,2.0
50.85306779906683,896.8046857403024,31800,0.01,0.0001,2.0
